"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1481","Checkout recusado quando os dados do comprador estão incompletos (example #2)","Checkout na SauceDemo","2026-06-22","passed","2026-06-22","","","",""
"","186","deve remover o usuário retornando 204 e corpo vazio","DELETE /api/users/:id - Remoção de usuário","2026-06-22","failed","2026-06-22","","Cenários positivos","",""
"","431","deve retornar 404 ao usar um método inválido (PUT) em /api/register","PUT e PATCH /api/users/:id - Atualização de usuário","2026-06-22","passed","2026-06-22","","Cenários negativos","",""
"","159","deve exibir erro quando usuário e senha estão em branco","Login - SauceDemo (E2E)","2026-06-22","passed","2026-06-22","","Cenários negativos","",""
"","414","deve exibir erro quando o usuário está em branco","Login - SauceDemo (E2E)","2026-06-22","passed","2026-06-22","","Cenários negativos","",""
"","179","deve retornar 400 quando a senha está ausente","POST /api/register - Cadastro de usuário","2026-06-22","failed","2026-06-22","","Cenários negativos","",""
"","762","não deve logar com usuário inexistente","Login - SauceDemo (E2E)","2026-06-22","passed","2026-06-22","","Cenários negativos","",""
"","183","deve retornar 400 quando o e-mail está ausente","POST /api/register - Cadastro de usuário","2026-06-22","failed","2026-06-22","","Cenários negativos","",""
"","1769","Conclusão da compra de um único produto","Checkout na SauceDemo","2026-06-22","passed","2026-06-22","","","",""
"","198","deve autenticar com credenciais válidas retornando 200 e token","POST /api/login - Autenticação de usuário","2026-06-22","failed","2026-06-22","","Cenários positivos","",""
"","728","Acesso recusado com credenciais inválidas (example #2)","Login na SauceDemo","2026-06-22","passed","2026-06-22","","","",""
"","1429","deve exibir erro quando o CEP está em branco","Checkout - SauceDemo (E2E)","2026-06-22","passed","2026-06-22","","Cenários negativos - validação dos dados do comprador","",""
"","175","deve retornar 400 quando o corpo está vazio","POST /api/register - Cadastro de usuário","2026-06-22","failed","2026-06-22","","Cenários negativos","",""
"","183","deve retornar 400 quando o e-mail está ausente","POST /api/login - Autenticação de usuário","2026-06-22","failed","2026-06-22","","Cenários negativos","",""
"","182","deve registrar um usuário válido retornando 200 com id e token","POST /api/register - Cadastro de usuário","2026-06-22","failed","2026-06-22","","Cenários positivos","",""
"","734","não deve logar com senha incorreta","Login - SauceDemo (E2E)","2026-06-22","passed","2026-06-22","","Cenários negativos","",""
"","1422","Checkout recusado quando os dados do comprador estão incompletos (example #3)","Checkout na SauceDemo","2026-06-22","passed","2026-06-22","","","",""
"","1460","Checkout recusado quando os dados do comprador estão incompletos (example #1)","Checkout na SauceDemo","2026-06-22","passed","2026-06-22","","","",""
"","993","deve logar com standard_user e navegar para a página de produtos","Login - SauceDemo (E2E)","2026-06-22","passed","2026-06-22","","Cenários positivos","",""
"","1758","Revisão do total no resumo do pedido","Checkout na SauceDemo","2026-06-22","passed","2026-06-22","","","",""
"","186","PUT deve atualizar o usuário retornando 200 e updatedAt","PUT e PATCH /api/users/:id - Atualização de usuário","2026-06-22","failed","2026-06-22","","Cenários positivos","",""
"","168","deve retornar 401 ao remover sem API key","DELETE /api/users/:id - Remoção de usuário","2026-06-22","passed","2026-06-22","","Cenários negativos","",""
"","1147","Adição de um produto ao carrinho","Checkout na SauceDemo","2026-06-22","passed","2026-06-22","","","",""
"","170","deve retornar 400 quando o payload é um JSON malformado","POST /api/register - Cadastro de usuário","2026-06-22","passed","2026-06-22","","Cenários negativos","",""
"","166","deve retornar 401 quando a API key não é enviada","GET /api/users - Listagem e consulta de usuários","2026-06-22","passed","2026-06-22","","Cenários negativos","",""
"","170","deve retornar 401 ao atualizar sem API key","PUT e PATCH /api/users/:id - Atualização de usuário","2026-06-22","passed","2026-06-22","","Cenários negativos","",""
"","188","deve listar usuários retornando status, headers e corpo válidos","GET /api/users - Listagem e consulta de usuários","2026-06-22","failed","2026-06-22","","Cenários positivos","",""
"","180","deve retornar 400 para um usuário não cadastrado","POST /api/login - Autenticação de usuário","2026-06-22","failed","2026-06-22","","Cenários negativos","",""
"","768","Acesso recusado com credenciais inválidas (example #3)","Login na SauceDemo","2026-06-22","passed","2026-06-22","","","",""
"","424","deve exibir erro quando a senha está em branco","Login - SauceDemo (E2E)","2026-06-22","passed","2026-06-22","","Cenários negativos","",""
"","176","deve retornar 404 ao consultar um usuário inexistente (id = 999)","GET /api/users - Listagem e consulta de usuários","2026-06-22","failed","2026-06-22","","Cenários negativos","",""
"","2801","deve concluir a compra de um único produto com sucesso","Checkout - SauceDemo (E2E)","2026-06-22","passed","2026-06-22","","Cenários positivos","",""
"","190","deve retornar 400 quando a senha está ausente","POST /api/login - Autenticação de usuário","2026-06-22","failed","2026-06-22","","Cenários negativos","",""
"","177","deve retornar um único usuário existente (id = 2)","GET /api/users - Listagem e consulta de usuários","2026-06-22","failed","2026-06-22","","Cenários positivos","",""
"","993","Acesso com um usuário padrão válido","Login na SauceDemo","2026-06-22","passed","2026-06-22","","","",""
"","1907","Conclusão da compra de múltiplos produtos","Checkout na SauceDemo","2026-06-22","passed","2026-06-22","","","",""
"","173","deve retornar 401 quando a API key não é enviada","POST /api/login - Autenticação de usuário","2026-06-22","passed","2026-06-22","","Cenários negativos","",""
"","429","Acesso recusado quando um campo obrigatório não é informado (example #1)","Login na SauceDemo","2026-06-22","passed","2026-06-22","","","",""
"","2010","deve concluir a compra de múltiplos produtos validando o total do resumo","Checkout - SauceDemo (E2E)","2026-06-22","passed","2026-06-22","","Cenários positivos","",""
"","161","Acesso recusado quando um campo obrigatório não é informado (example #3)","Login na SauceDemo","2026-06-22","passed","2026-06-22","","","",""
"","179","deve respeitar a paginação ao consultar a página 2","GET /api/users - Listagem e consulta de usuários","2026-06-22","failed","2026-06-22","","Cenários positivos","",""
"","174","deve retornar 403 quando a API key é inválida","GET /api/users - Listagem e consulta de usuários","2026-06-22","passed","2026-06-22","","Cenários negativos","",""
"","1488","deve exibir erro quando o sobrenome está em branco","Checkout - SauceDemo (E2E)","2026-06-22","passed","2026-06-22","","Cenários negativos - validação dos dados do comprador","",""
"","433","Acesso recusado quando um campo obrigatório não é informado (example #2)","Login na SauceDemo","2026-06-22","passed","2026-06-22","","","",""
"","816","não deve logar com usuário bloqueado (locked_out_user)","Login - SauceDemo (E2E)","2026-06-22","passed","2026-06-22","","Cenários negativos","",""
"","167","deve retornar 401 quando a API key não é enviada","POST /api/register - Cadastro de usuário","2026-06-22","passed","2026-06-22","","Cenários negativos","",""
"","1016","Revisão de um produto no carrinho","Checkout na SauceDemo","2026-06-22","passed","2026-06-22","","","",""
"","824","Acesso recusado com credenciais inválidas (example #1)","Login na SauceDemo","2026-06-22","passed","2026-06-22","","","",""
"","175","PATCH deve atualizar parcialmente o usuário retornando 200","PUT e PATCH /api/users/:id - Atualização de usuário","2026-06-22","failed","2026-06-22","","Cenários positivos","",""
"","1465","deve exibir erro quando o primeiro nome está em branco","Checkout - SauceDemo (E2E)","2026-06-22","passed","2026-06-22","","Cenários negativos - validação dos dados do comprador","",""
